1,1
4939,1
3,3
6,6
9,9
12,12
15,15
18,18
21,21
24,24
27,27
30,30
33,33
36,36
39,39
42,42
45,45
48,48
51,51
54,54
57,57
60,60
63,63
66,66
69,69
72,72
75,75
78,78
81,81
84,84
87,87
90,90
93,93
96,96
99,99
102,102
105,105
108,108
111,111
114,114
117,117
120,120
123,123
126,126
129,129
132,132
135,135
138,138
141,141
144,144
147,147
150,150
153,153
156,156
159,159
162,162
165,165
168,168
171,171
174,174
177,177
180,180
183,183
186,186
189,189
192,192
195,195
198,198
201,201
204,204
207,207
210,210
213,213
216,216
219,219
222,222
225,225
228,228
231,231
234,234
237,237
240,240
29,243
243,243
246,246
249,249
92,252
252,252
255,255
258,258
158,261
261,261
182,264
264,264
267,267
270,270
197,273
248,273
273,273
286,286
287,287
288,288
289,289
290,290
291,291
292,292
293,293
294,294
295,295
296,296
297,297
333,333
334,334
335,335
336,336
337,337
338,338
339,339
340,340
341,341
342,342
343,343
272,344
344,344
350,350
351,351
352,352
349,353
353,353
357,357
358,358
359,359
360,360
361,361
362,362
363,363
364,364
365,365
366,366
367,367
368,368
369,369
374,374
3908,374
373,375
375,375
381,381
402,402
403,403
419,419
420,420
421,421
422,422
437,437
176,438
438,438
439,439
440,440
441,441
442,442
443,443
444,444
445,445
446,446
462,462
463,463
464,464
465,465
466,466
467,467
468,468
469,469
470,470
471,471
472,472
483,483
485,485
486,486
477,487
487,487
428,488
488,488
511,511
512,512
513,513
514,514
515,515
526,526
560,560
561,561
562,562
563,563
566,566
567,567
571,571
572,572
573,573
583,583
584,584
585,585
586,586
590,590
591,591
592,592
593,593
594,594
595,595
596,596
597,597
598,598
599,599
600,600
608,608
609,609
610,610
611,611
612,612
613,613
614,614
615,615
616,616
617,617
618,618
619,619
620,620
621,621
622,622
623,623
624,624
625,625
626,626
627,627
628,628
629,629
630,630
631,631
632,632
633,633
634,634
635,635
636,636
637,637
638,638
639,639
640,640
569,641
641,641
646,646
647,647
648,648
649,649
650,650
645,651
651,651
661,661
662,662
663,663
664,664
665,665
666,666
682,682
683,683
684,684
685,685
686,686
687,687
688,688
689,689
690,690
693,695
695,695
694,704
704,704
714,714
715,715
716,716
717,717
718,718
719,719
720,720
721,721
722,722
729,729
744,744
745,745
746,746
747,747
742,748
748,748
757,757
758,758
733,759
759,759
269,763
763,763
762,764
764,764
765,765
766,766
767,767
768,768
776,785
785,785
786,786
787,787
743,788
788,788
801,801
802,802
803,803
804,804
805,805
806,806
808,808
809,809
810,810
811,811
812,812
813,813
814,814
815,815
816,816
817,817
818,818
819,819
820,820
821,821
822,822
823,823
824,824
433,825
825,825
830,830
845,845
846,846
847,847
848,848
849,849
860,860
861,861
858,862
862,862
882,882
883,883
884,884
885,885
886,886
887,887
888,888
889,889
890,890
899,899
900,900
901,901
902,902
903,903
904,904
898,905
905,905
911,911
912,912
913,913
914,914
915,915
916,916
917,917
921,921
929,929
930,930
931,931
932,932
933,933
934,934
935,935
936,936
943,943
944,944
960,960
961,961
962,962
963,963
964,964
965,965
966,966
967,967
968,968
969,969
970,970
971,971
972,972
956,973
973,973
984,984
985,985
986,986
987,987
988,988
989,989
990,990
991,991
992,992
1023,1023
1024,1024
1025,1025
1026,1026
1027,1027
979,1028
1028,1028
1033,1033
1034,1034
1035,1035
1036,1036
1037,1037
1038,1038
1039,1039
1041,1041
1042,1042
1043,1043
1044,1044
1045,1045
1046,1046
1049,1049
